field_name,table_name,description,datatype,frequency,source_type,historical_available,period_end,available_date/as_of_date,update_rule,factor_hypothesis,MVP_priority
company_id,company_master,公司稳定内部标识,UUID,static,internal_master,full,n/a,created_at,insert once; merge aliases only,all hypotheses require stable entity mapping,P0
legal_name,company_master,公司法定名称,TEXT,event_driven,company_filing,full,n/a,updated_at,type-2 history through company_alias when renamed,entity reference only,P0
common_name,company_master,常用公司名称,TEXT,event_driven,internal_master,full,n/a,updated_at,update on verified rename,entity reference only,P0
country_code,company_master,注册国家 ISO-3166-1 alpha-2,CHAR(2),event_driven,company_filing,full,n/a,updated_at,update on domicile change,country neutralization and policy exposure,P1
gics_industry,company_master,GICS 或内部统一行业,TEXT,quarterly,vendor_classification,partial,n/a,updated_at,version changes; never overwrite classification history,industry neutral return,P0
ai_value_chain_bucket,company_master,Compute Cloud Model Tool Application Data Power 分类,TEXT,quarterly,internal_research,from_2024,n/a,updated_at,analyst-reviewed taxonomy,supply-chain and peer comparison,P0
primary_stage,company_master,AI产业链一级环节 upstream midstream downstream,TEXT,quarterly,internal_research,from_2024,n/a,updated_at,analyst-reviewed three-stage taxonomy,within-stage comparison and transmission tests,P0
secondary_segment,company_master,一级环节下的细分业务环节,TEXT,quarterly,internal_research,from_2024,n/a,updated_at,analyst-reviewed segment taxonomy,segment-specific KPI and peer comparison,P0
secondary_exposure,company_master,公司除主要环节外的次要AI业务暴露,TEXT,quarterly,internal_research,from_2024,n/a,updated_at,review after filings and product changes,cross-stage exposure analysis,P1
upstream_dependencies,company_master,影响该公司AI业务的主要上游依赖,TEXT,quarterly,internal_research,from_2024,n/a,updated_at,review after supply or platform changes,value-chain transmission mapping,P1
downstream_customers,company_master,该公司AI业务的主要下游客户类别,TEXT,quarterly,internal_research,from_2024,n/a,updated_at,review after customer or channel changes,demand validation mapping,P1
security_id,security_master,证券稳定内部标识,UUID,static,internal_master,full,n/a,created_at,insert once,security-level return mapping,P0
company_id,security_master,证券所属公司,UUID,static,internal_master,full,n/a,created_at,foreign key to company_master,all company-security joins,P0
ticker,security_master,交易代码,TEXT,event_driven,exchange_reference,full,n/a,valid_from,ticker changes create new effective-dated row,market data join,P0
exchange_mic,security_master,交易所 MIC,TEXT,event_driven,exchange_reference,full,n/a,valid_from,effective-dated,calendar and currency alignment,P0
currency,security_master,交易币种,CHAR(3),event_driven,exchange_reference,full,n/a,valid_from,effective-dated,FX-neutral comparison,P1
valid_from,security_master,证券映射生效日,DATE,event_driven,internal_master,full,n/a,valid_from,part of temporal uniqueness,prevent identifier look-ahead,P0
valid_to,security_master,证券映射失效日,DATE,event_driven,internal_master,full,n/a,valid_to,null means active,prevent stale ticker joins,P0
